id,name,start_time
ocd-event/03fda9b9-32ae-494c-898c-54d85de5f592,2013 SPECIAL ELECTION (ASSEMBLY 54),2013-12-03 00:00:00+00:00
ocd-event/2bda1e9d-3659-4afe-a360-1332d0bf41f3,2014 SPECIAL ELECTION (STATE SENATE 23),2014-03-25 00:00:00+00:00
ocd-event/84285b1d-bc75-4067-90e9-3dc0a6807280,2014 PRIMARY,2014-06-03 00:00:00+00:00
ocd-event/488466a4-8090-4379-899d-480ad92e47b8,2014 GENERAL,2014-11-04 00:00:00+00:00
ocd-event/7459b560-858d-4a26-89f4-aa9d20f1e96d,2014 SPECIAL ELECTION (STATE SENATE 35),2014-12-09 00:00:00+00:00
ocd-event/0f7a0a65-76c3-4456-bf69-378c14762d64,MAR 2015 SPECIAL ELECTIONS,2015-03-17 00:00:00+00:00
ocd-event/a203a2e6-9d61-43c8-a629-2654abcf4899,2015 SPECIAL RUNOFF (STATE SENATE 07),2015-05-19 00:00:00+00:00
ocd-event/6594fc03-f1fe-438a-a7e1-8354b3390567,2016 SPECIAL ELECTION (ASSEMBLY 31),2016-04-05 00:00:00+00:00
ocd-event/0ab5dde3-7745-4602-aa1f-bf5dbada5889,2016 PRIMARY,2016-06-07 00:00:00+00:00
ocd-event/9c8198bc-a05f-44b9-9352-ea04800c55aa,2016 GENERAL,2016-11-08 00:00:00+00:00
