election_name,election_date,election_id,ocd_prop_id,calaccess_prop_id,ccdc_prop_id,prop_name
2000 PRIMARY,2000-03-07 00:00:00+00:00,ocd-event/e9cb6a1f-203e-4305-883b-17de53940dfd,ocd-contest/3bc11809-a8ce-40d4-80db-1cd09e71e64c,1007676,20,"PROP 31 - 2000 REFERENDUM PETITION TO OVERTURN AMENDMENTS TO ""THE FAIR INSURANCE RESPONSIBILITY ACT."""
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/9b616ce2-12c5-403d-b0b5-21a1c674ed08,1225295,21,PROP 32 - VETERANS' BOND ACT OF 2000
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/1a755416-d395-4074-9ea5-88241d10ee74,1225298,22,PROP 33 - LEGISLATURE. PARTICIPATION IN PUBLIC EMPLOYEES' RETIREMENT SYSTEM. LEGISLATIVE CONSTITUTIONAL AMENDMENT.
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/44ad32fe-9666-4f2b-98cd-a60ea8fae9e7,1225301,23,PROP 34 - CAMPAIGN CONTRIBUTIONS AND SPENDING. LIMITS. DISCLOSURE. LEGISLATIVE INITIATIVE AMENDMENT.
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/034cbdb3-0e9b-4468-a988-f12551a52a12,1007621,24,PROP 35 - PUBLIC WORKS PROJECTS. USE OF PRIVATE CONTRACTORS FOR ENGINEERING AND ARCHITECTURAL SERVICES. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/7a03ca23-038c-4f3b-b48a-43fcc0064718,1221199,25,PROP 36 - DRUG TREATMENT DIVERSION PROGRAM. INITIATIVE STATUTE.
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/541d3b71-4db0-4753-9e25-594e58488a02,1224360,26,PROP 37 - FEES. VOTE REQUIREMENTS. TAXES. INITIATIVE CONSTITUTIONAL AMENDMENT.
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/edd09320-48c4-4875-a1c6-0375652107d4,1221201,27,PROP 38 - SCHOOL VOUCHERS. STATE-FUNDED PRIVATE AND RELIGIOUS EDUCATION. PUBLIC SCHOOL FUNDING. INITIATIVE CONSTITUTIONAL AMENDMENT.
2000 GENERAL,2000-11-07 00:00:00+00:00,ocd-event/733b062d-75d2-4e23-8e17-838f808780be,ocd-contest/cf4629e7-fafd-46de-9251-a97e644241ab,1224425,28,"PROP 39 - SCHOOL FACILITIES. 55% LOCAL VOTE. BONDS, TAXES. ACCOUNTABILITY REQUIREMENTS. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE."
2002 PRIMARY,2002-03-05 00:00:00+00:00,ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,ocd-contest/f9c4748b-b8f2-4962-ace4-1a60079ec50f,1239148,133,"PROP 40 - CALIFORNIA CLEAN WATER, CLEAN AIR, SAFE NEIGHBORHOOD PARKS, AND COASTAL PROTECTION ACT OF 2002. AB. 1602 (2001)"
2002 PRIMARY,2002-03-05 00:00:00+00:00,ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,ocd-contest/0ca1798c-df66-4282-9b7c-aa3c1dfe3ee5,1239150,134,PROP 41 - VOTING MODERNIZATION ACT OF 2002. AB 56 (2001)
2002 PRIMARY,2002-03-05 00:00:00+00:00,ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,ocd-contest/954c5b95-4a57-4941-81f0-1b9cb8eedf20,1238835,135,PROP 42 - TRANSPORTATION FUNDING: SALES AND USE TAX REVENUES. ACA 4. (2001)
2002 PRIMARY,2002-03-05 00:00:00+00:00,ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,ocd-contest/f3447c7b-3908-4f0a-9abc-ceb26e7e02c9,1238846,136,PROP 43 - RIGHT TO HAVE VOTE COUNTED. ACA 9. (2001).
2002 PRIMARY,2002-03-05 00:00:00+00:00,ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,ocd-contest/07cb29a5-2356-4bc4-8189-a9830328ff3b,1238847,137,PROP 44 - INSURANCE FRAUD. SB 1988. (2000).
2002 PRIMARY,2002-03-05 00:00:00+00:00,ocd-event/dccf18ff-aca7-41ee-ab61-f15eb6250918,ocd-contest/0e29bd92-78d8-46c6-a6cf-dc0ffebb03e6,1237346,138,PROP 45 - LEGISLATIVE TERM LIMITS. LOCAL VOTER PETITIONS. INITIATIVE CONSTITUTIONAL AMENDMENT.
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/419c93bb-c578-4d41-bdfd-137272567ffa,1244959,139,PROP 46 - HOUSING AND EMERGENCY SHELTER TRUST FUND ACT OF 2002.
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/558fb953-0e6b-4d7a-b396-50f608d9f5cc,1244960,140,PROP 47 - KINDERGARTEN-UNIVERSITY PUBLIC EDUCATION FACILITIES BOND ACT OF 2002.
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/f4624cb2-2c3f-447e-af32-cfb978020d36,1245253,141,PROP 48 - COURT CONSOLIDATION. LEGISLATIVE CONSTITUTIONAL AMENDMENT.
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/26f0b156-d3a0-4682-b840-faa39156ace5,1245288,142,PROP 49 - BEFORE AND AFTER SCHOOL PROGRAMS. STATE GRANTS. INITIATIVE STATUTE.
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/3dc18dc9-4a22-4ce1-a786-47e62a140819,1244594,143,"PROP 50 - WATER QUALITY, SUPPLY AND SAFE DRINKING WATER PROJECTS. COASTAL WETLANDS PURCHASE AND PROTECTION. BONDS. INITIATIVE STATUTE."
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/58a8357b-be98-4549-825b-f0cc1dedc596,1244589,144,PROP 51 - TRANSPORTATION. DISTRIBUTION OF EXISTING MOTOR VEHICLE SALES AND USE TAX. INITIATIVE STATUTE.
2002 GENERAL,2002-11-05 00:00:00+00:00,ocd-event/bd2142ef-f6d3-4b57-bf97-aaa6091e4e5c,ocd-contest/8cd5bcbf-5a87-4c82-afcc-b164c78cfc78,1244588,145,PROP 52 - ELECTION DAY VOTER REGISTRATION. VOTER FRAUD PENALITIES. INITATIVE STATUTE.
2003 SPECIAL ELECTION,2003-10-07 00:00:00+00:00,ocd-event/291fe00e-1e45-40ec-a105-86dde9c8b759,ocd-contest/9ee94e03-12be-4788-8af4-25f6c0919164,1256382,146,2003 RECALL QUESTION
2003 SPECIAL ELECTION,2003-10-07 00:00:00+00:00,ocd-event/291fe00e-1e45-40ec-a105-86dde9c8b759,ocd-contest/7ae4970d-6208-4dc5-ba72-d239ce25e0a6,1255050,147,PROP 53 - INFRASTRUCTURE: FINANCE.
2003 SPECIAL ELECTION,2003-10-07 00:00:00+00:00,ocd-event/291fe00e-1e45-40ec-a105-86dde9c8b759,ocd-contest/f7fdca4b-108f-4ab3-bc12-677d8ca18ed5,1244577,148,"PROP 54 - CLASSIFICATION BY RACE, ETHNICITY, COLOR OR NATIONAL ORIGIN."
2004 PRIMARY,2004-03-02 00:00:00+00:00,ocd-event/0bbce3dc-5789-4879-b66b-61bf3d3bd844,ocd-contest/3836d3d0-7df0-482b-9f47-03f43f77c33a,1255049,165,PROP 55 - KINDERGARTEN-UNIVERSITY PUBLIC EDUCATION FACILITIES BOND ACT OF 2004.
2004 PRIMARY,2004-03-02 00:00:00+00:00,ocd-event/0bbce3dc-5789-4879-b66b-61bf3d3bd844,ocd-contest/99a34e3a-e062-4905-9940-e8b7edf0b87c,1260878,166,"PROP 56 - STATE BUDGET, RELATED TAXES, AND RESERVE. VOTING REQUIREMENTS. PENALTIES. INITIATIVE CONSTITUTIONAL AMENDMENT."
2004 PRIMARY,2004-03-02 00:00:00+00:00,ocd-event/0bbce3dc-5789-4879-b66b-61bf3d3bd844,ocd-contest/500607b3-a41e-4fd8-abaa-bf7595b57997,1261013,167,"PROP 57 - ABX5 9 (CHAPTER 2, STATUTES 2003, 5TH EXTRAORDINARY SESSION). OROPEZA. ECONOMIC RECOVERY BONDS."
2004 PRIMARY,2004-03-02 00:00:00+00:00,ocd-event/0bbce3dc-5789-4879-b66b-61bf3d3bd844,ocd-contest/ab7e88fc-1aa7-4d4d-8a25-593e371cbf80,1261015,168,"PROP 58 - ABX5 5 (RESOLUTION CHAPTER 1, STATUTES OF 2003, 5TH EXTRAORDINARY SESSION). OROPEZA. STATE FINANCE."
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/d93428be-0548-4dcf-8e18-27382ab245a7,1267682,149,"PROP 1A - SCA 4 (RESOLUTION CHAPTER 133, STATUTES OF 2004). TORLAKSON. PROTECTION OF LOCAL GOVERNMENT REVENUES."
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/beb9473e-0f55-4b19-b03e-6c5ced90a5c8,1265077,150,"PROP 59 - SCA 1 (RESOLUTION CHAPTER 1, STATUTES OF 2004). BURTON. ACCESS TO GOVERNMENT INFORMATION"
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/f81078c9-36ea-4904-be6d-f57d8dd5d3f7,1267683,152,"PROP 60A - SCA (RESOLUTION CHAPTER 103, 2004). JOHNSON. SURPLUS PROPERTY. LEGISLATIVE CONSTITUTIONAL AMENDMENT."
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/1c41a525-ac9c-48b0-be1f-29eb24e3cecc,1266469,151,"PROP 60 - SCA 18 (RESOLUTION CHAPTER 103, 2004). JOHNSON. ELECTION RIGHTS OF POLITICAL PARTIES. SURPLUS PROPERTY. LEGISLATIVE CONSTITUTIONAL AMENDMENT."
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/6784df8b-c78c-4ac9-924e-9cb77dbdbf05,1260985,153,PROP 61 - CHILDREN'S HOSPITAL PROJECTS. GRANT PROGRAM. BOND ACT. INITIATIVE STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/b045d2dd-2c14-4a34-b616-4a52cf57f4cb,1260856,154,PROP 62 - ELECTIONS. PRIMARIES. INITIATIVE CONSTITUTIONAL AMENDMENT AND STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/bf1ee053-5959-4a7a-a231-59e60163d37e,1260927,155,PROP 63 - MENTAL HEALTH SERVICES EXPANSION AND FUNDING. TAX ON INCOMES OVER $1 MILLION. INITIATIVE STATUTE.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/73e4c27c-daeb-4a18-9ead-0adf3e860516,1264264,156,PROP 64 - LIMITATIONS ON ENFORCEMENT OF UNFAIR BUSINESS COMPETITION LAWS. INITIATIVE STATUTE
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/6159d000-01c0-4265-a8d6-9d95775c464f,1264316,157,PROP 65 - LOCAL GOVERNMENT FUNDS AND REVENUES. STATE MANDATES. INITIATIVE CONSTITUTIONAL AMENDMENT.
2004 GENERAL,2004-11-02 00:00:00+00:00,ocd-event/65ba4033-2bed-4802-98e7-1cf5a3bd2e5a,ocd-contest/cc4717a1-27c5-45dd-840f-9067782c5834,1264261,158,"PROP 66 - LIMITATIONS ON ""THREE STRIKES"" LAW. SEX CRIMES. PUNISHMENT. INITIATIVE STATUTE."
